Town,Type,Population
Adayalampattu,Out Growth,"1,874"
Alamathi,Census Town,"7,424"
Anakaputhur,Municipality,"48,050"
Ayappakkam,Census Town,"29,511"
Ayyappanthangal,Census Town,"23,808"
Chinnasekkadu,Town Panchayat,"12,396"
Chitlapakkam,Town Panchayat,"37,906"
Cowl Bazaar,Out Growth,"2,784"
Edayanchavadi,Census Town,"12,119"
Gerugambakkam,Census Town,"11,551"
Injambakkam,Census Town,"21,158"
Irandankattalai,Out Growth,"3,073"
Jalladiampet,Census Town,"19,100"
Kadhirvedu,Census Town,"7,580"
Kannapalayam,Census Town,"4,704"
Karambakkam,Census Town,"21,376"
Karapakkam,Out Growth,"8,958"
Kattivakkam,Municipality,"36,617"
Kattupakkam,Census Town,"23,910"
Koilambakkam,Census Town,"27,374"
Kolapakkam,Out Growth,"7,970"
Kottivakkam,Census Town,"20,217"
Kovur,Census Town,"10,961"
Kundrathur,Town Panchayat,"42,126"
Madambakkam,Census Town,"11,673"
Madambakkam,Town Panchayat,"31,681"
Madipakkam,Census Town,"35,752"
Maduravoyal,Municipality,"86,195"
Manali,Municipality,"35,248"
Manapakkam,Census Town,"13,344"
Mangadu,Town Panchayat,"38,188"
Maraimalainagar,Municipality,"81,872"
Mathur,Census Town,"27,674"
Medavakkam,Census Town,"29,710"
Meenambakkam,Town Panchayat,"4,286"
Moovarasampettai,Census Town,"9,672"
Mowlivakkam,Out Growth,"9,294"
Mugalivakkam,Census Town,"25,117"
Nadukuthagai,Census Town,"9,251"
Nallur,Census Town,"19,595"
Nandambakkam,Town Panchayat,"11,239"
Nandivaram - Guduvancheri,Town Panchayat,"44,098"
Nanmangalam,Out Growth,"18,567"
Naravarikuppam,Town Panchayat,"20,946"
Nazarathpettai,Census Town,"8,660"
Nedungundram,Census Town,"14,390"
Neelankarai,Census Town,"28,458"
Nemilicheri,Census Town,"5,743"
Nerkundram,Census Town,"59,790"
Nolambur,Census Town,"21,973"
Oggiyamduraipakkam,Census Town,"76,600"
Padianallur,Census Town,"23,819"
Palavakkam,Census Town,"26,766"
Pallavaram,Out Growth,0
Pallikaranai,Town Panchayat,"43,493"
Pammal,Municipality,"75,870"
Paraniputhur,Census Town,"15,225"
Peerkankaranai,Town Panchayat,"25,871"
Periyapanaicheri,Out Growth,"2,379"
Perungalathur,Town Panchayat,"37,342"
Perungudi,Town Panchayat,"43,111"
Polichalur,Census Town,"21,906"
Poonamallee,Municipality,"57,224"
Porur,Town Panchayat,"46,690"
Puthagaram,Census Town,"10,263"
Puzhal,Town Panchayat,"31,665"
Puzhithivakkam (Ullagaram),Municipality,"53,322"
Ramapuram,Census Town,"52,295"
Sembakkam,Town Panchayat,"45,356"
Senneerkuppam,Census Town,"16,237"
Sholinganallur,Town Panchayat,"26,644"
Sikkarayapuram,Census Town,"10,187"
Singaperumalkoil,Census Town,"13,566"
Sirukalathur,Census Town,"6,117"
Soorapattu,Census Town,"10,444"
St.Thomas Mount and Pallavaram,Cantonment Board,"43,795"
Thandalam,Out Growth,"5,176"
Tharapakkam,Out Growth,"2,232"
Theerthagiriyampattu,Census Town,"5,412"
Thirumazhisai,Town Panchayat,"19,733"
Thiruneermalai,Town Panchayat,"30,702"
Thirunindravur,Town Panchayat,"37,095"
Thiruvancheri,Out Growth,"3,379"
Tirusulam,Census Town,"14,086"
Tiruverkadu,Municipality,"62,824"
Urapakkam,Census Town,"29,122"
Valasaravakkam,Municipality,"47,378"
Vanagaram,Census Town,"19,208"
Vandalur,Census Town,"16,852"
Varadarajapuram,Out Growth,"3,383"
Vengavasal,Census Town,"13,671"
